mass,N,coupling,chi,cut,total_entropy,q0_weight,q_minus2_weight,top_2_cum_weight,shannon_sector_entropy,weighted_intrasector_entropy_sum,xi_0,xi_1,xi_2,retained_weight_rank_2,retained_weight_rank_3
0.05,20,4.0,64,9,0.539669497221992,0.8057047815776794,0.18715392206553957,0.992858703643219,0.5230873379098797,0.016582159312112186,0.2188803642874266,1.676349805029678,4.943824517886538,0.99047335038661,0.9976006381277666
0.08,20,4.0,64,9,0.5281730791551194,0.8104782054964675,0.18312480540176668,0.9936030108982342,0.5135790657945991,0.01459401336052014,0.21256107903519117,1.698059789791122,5.053854334419569,0.9915492443075758,0.9979339215864054
0.125,20,4.0,64,9,0.5112569785635906,0.8179176027080082,0.17661520547761192,0.9945328081856201,0.4991571884817869,0.012099790081803695,0.20292634626548425,1.7341849547643045,5.210827710589668,0.9928823986169476,0.9983395534898332
0.2,20,4.0,64,9,0.48422858988173584,0.8303804455007417,0.16534480881207606,0.9957252543128178,0.4752874109020758,0.008941178979659887,0.18721031375538294,1.8000322042464318,5.456669654305101,0.9945628762821374,0.9988306214527469
