N,mass,coupling,chi,cut,n_sectors,top_2_cum_weight,top_3_cum_weight,q0_weight,q_minus2_weight,shannon_sector_entropy,weighted_intrasector_entropy_sum,reconstructed_total_entropy,reconstruction_error
20,0.05,4.0,64,9,6,0.992858703643219,0.9999868004420746,0.8057047815776794,0.18715392206553957,0.5230873379098797,0.016582159312112186,0.5396694972219919,-1.1102230246251565e-16
20,0.08,4.0,64,9,6,0.9936030108982342,0.9999883531420368,0.8104782054964675,0.18312480540176668,0.5135790657945991,0.01459401336052014,0.5281730791551192,-1.1102230246251565e-16
20,0.125,4.0,64,9,6,0.9945328081856201,0.9999904604999733,0.8179176027080082,0.17661520547761192,0.4991571884817869,0.012099790081803695,0.5112569785635906,0.0
20,0.2,4.0,64,9,6,0.9957252543128178,0.9999933098586684,0.8303804455007417,0.16534480881207606,0.4752874109020758,0.008941178979659887,0.4842285898817357,-1.1102230246251565e-16
