time,rank,schmidt_proxy_from_rhoA,p_eig,cum_weight,cut,channel,gamma,model,N,m_over_g,x
3.0,27,0.0001932808965803428,3.735750498290117e-08,0.9999999684739718,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,28,0.00016802907100077358,2.823376870138301e-08,0.9999999967077404,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,29,5.2451684336552964e-05,2.7511791897413955e-09,0.9999999994589196,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,30,1.9332467501427707e-05,3.7374429969375847e-10,0.9999999998326639,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,31,1.2935844345876112e-05,1.6733606894073495e-10,0.9999999999999999,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,0,0.8696944018812658,0.7563683526636127,0.7563683526636127,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,1,0.45854446525368486,0.2102630266147878,0.9666313792784005,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,2,0.15088092766245326,0.02276505433228245,0.989396433610683,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,3,0.06998690000893604,0.0048981661728608105,0.9942945997835437,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,4,0.0494132672240118,0.002441670977751599,0.9967362707612953,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,5,0.03519974418711258,0.001239021990838166,0.9979752927521335,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,6,0.0295393978472224,0.0008725760251764872,0.99884786877731,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,7,0.021773934029479764,0.00047410420312013685,0.9993219729804301,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,8,0.012668087311550167,0.00016048043613305836,0.9994824534165632,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,9,0.012430558489081481,0.00015451878435047568,0.9996369722009136,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,10,0.011719816157267377,0.00013735409076014545,0.9997743262916737,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,11,0.007987647023558196,6.38025049729581e-05,0.9998381287966467,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,12,0.007987426433589294,6.379898103200098e-05,0.9999019277776787,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,13,0.007160560637792368,5.127362864750145e-05,0.9999532014063263,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,14,0.003982180979162016,1.5857765350799756e-05,0.9999690591716771,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,15,0.0037672891046582045,1.4192467198076417e-05,0.9999832516388751,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,16,0.0026260928763633205,6.8963637952861775e-06,0.9999901480026704,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,17,0.0023085712811033586,5.329501359935203e-06,0.9999954775040303,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,18,0.0011109398134091656,1.2341872690175917e-06,0.9999967116912993,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,19,0.0010799774689813344,1.166351333507329e-06,0.9999978780426328,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,20,0.000907800631554608,8.241019866509451e-07,0.9999987021446195,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,21,0.0007508724173190651,5.638093870905763e-07,0.9999992659540066,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,22,0.000505123219947931,2.551494673305658e-07,0.9999995211034739,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,23,0.00042099350513197275,1.7723553136330435e-07,0.9999996983390053,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,24,0.00032848543556156885,1.0790268137607361e-07,0.9999998062416866,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,25,0.00025863354126930295,6.689130866950022e-08,0.9999998731329953,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,26,0.00017949337493051464,3.22178716439463e-08,0.9999999053508669,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,27,0.00015469473343293218,2.3930460551885946e-08,0.9999999292813274,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,28,0.000153676784966857,2.3616554237749604e-08,0.9999999528978817,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,29,0.00014956820913747553,2.237064918459162e-08,0.9999999752685309,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,30,0.00012846295955376336,1.6502731977311838e-08,0.9999999917712629,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
6.0,31,9.071238622710402e-05,8.228737015015291e-09,0.9999999999999999,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,0,0.9473440247845994,0.8974607012950838,0.8974607012950838,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,1,0.30630562679815265,0.09382313700820916,0.9912838383032929,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,2,0.08579969107544792,0.007361586988642297,0.9986454252919352,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,3,0.03675984997793995,0.0013512865704006518,0.9999967118623359,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,4,0.0016733625571716925,2.800142247744186e-06,0.9999995120045836,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,5,0.0005090109227458576,2.590921194745894e-07,0.999999771096703,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,6,0.0003323167306006589,1.1043440943711091e-07,0.9999998815311124,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,7,0.00027106066314217745,7.347388310307699e-08,0.9999999550049955,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,8,0.00016975375693410418,2.8816337993242924e-08,0.9999999838213335,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,9,0.0001261968517365278,1.592564538821118e-08,0.9999999997469788,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,10,9.24537837965398e-06,8.547702138297325e-11,0.9999999998324559,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,11,8.646897130617902e-06,7.47688299874881e-11,0.9999999999072248,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,12,8.63872112426062e-06,7.462750266274666e-11,0.9999999999818523,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,13,4.0555716383931796e-06,1.6447661314139137e-11,0.9999999999982999,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
0.0,14,1.303827207888904e-06,1.699965388031375e-12,0.9999999999999999,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,0,0.7310532351151621,0.5344388325723444,0.5344388325723444,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,1,0.597544627900415,0.3570595823326454,0.8914984149049898,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,2,0.1432247787685553,0.020513337253301612,0.9120117521582914,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,3,0.11452660714771783,0.013116343744767693,0.9251280959030591,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,4,0.11388413334195742,0.012969595827048737,0.9380976917301078,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,5,0.11344995063395676,0.012870891298847225,0.950968583028955,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,6,0.10398444305729307,0.010812764397935425,0.9617813474268905,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,7,0.07427992489752155,0.005517507242781442,0.9672988546696719,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,8,0.0709532345761217,0.005034361496814152,0.972333216166486,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,9,0.0682600506447494,0.004659434514023753,0.9769926506805098,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,10,0.0675451478890368,0.004562347003351853,0.9815549976838617,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,11,0.06493301152835836,0.00421629598614192,0.9857712936700036,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,12,0.05552744081220797,0.00308329668315326,0.9888545903531568,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,13,0.05478666440800236,0.0030015785969550726,0.9918561689501119,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,14,0.0435160310551833,0.0018936449587956775,0.9937498139089075,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,15,0.042535700567450055,0.001809285822763771,0.9955590997316712,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,16,0.033143586902813556,0.0010984973527843544,0.9966575970844556,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,17,0.032160471098403906,0.001034295901271273,0.9976918929857268,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
