time,observable,value,cut,channel,gamma,model,N,m_over_g,x,initial_state,quench
2.2,entropy_vn,0.48676207357308376,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.2,mean_abs_L,0.21339287975972251,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.3000000000000003,entropy_vn,0.5295548885106564,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.3000000000000003,mean_abs_L,0.21627917654647505,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.4000000000000004,entropy_vn,0.6407654275854435,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.4000000000000004,mean_abs_L,0.2214109618679447,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.5,entropy_vn,0.7490809809588123,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.5,mean_abs_L,0.23212621017326876,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.6,entropy_vn,0.8231434508813179,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.6,mean_abs_L,0.24475727935406683,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.7,entropy_vn,0.8667527561894498,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.7,mean_abs_L,0.25399404218960897,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.8000000000000003,entropy_vn,0.8753863193708498,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.8000000000000003,mean_abs_L,0.2616240681929906,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.9000000000000004,entropy_vn,0.8510608041163987,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
2.9000000000000004,mean_abs_L,0.2796784349064183,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.0,entropy_vn,0.830354974843675,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.0,mean_abs_L,0.30702222685760544,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.1,entropy_vn,0.8425194733024812,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.1,mean_abs_L,0.3340546605214698,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.2,entropy_vn,0.8773908195917024,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.2,mean_abs_L,0.34643179735770835,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.3000000000000003,entropy_vn,0.8965283223028946,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.3000000000000003,mean_abs_L,0.34106442692201966,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.4000000000000004,entropy_vn,0.8808981576523938,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.4000000000000004,mean_abs_L,0.3176116841890321,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.5,entropy_vn,0.8403111800336727,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.5,mean_abs_L,0.2882194253029056,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.6,entropy_vn,0.8010476341634118,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.6,mean_abs_L,0.26916580806951246,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.7,entropy_vn,0.7714774977948046,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.7,mean_abs_L,0.2409337252988904,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.8000000000000003,entropy_vn,0.7391953179824768,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.8000000000000003,mean_abs_L,0.21663368723442705,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.9000000000000004,entropy_vn,0.7044173557961042,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
3.9000000000000004,mean_abs_L,0.20524200066589718,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.0,entropy_vn,0.6626082035111914,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.0,mean_abs_L,0.2062971159333104,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.1000000000000005,entropy_vn,0.6125869087920384,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.1000000000000005,mean_abs_L,0.21339797964844193,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.2,entropy_vn,0.5699364751672319,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.2,mean_abs_L,0.21997230125132816,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.3,entropy_vn,0.5779481885334075,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.3,mean_abs_L,0.22309341809813787,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.4,entropy_vn,0.6640256538153437,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.4,mean_abs_L,0.2236769532714592,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.5,entropy_vn,0.7785626228898574,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.5,mean_abs_L,0.22307637389982282,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.6000000000000005,entropy_vn,0.8441124364536208,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.6000000000000005,mean_abs_L,0.22150363131624218,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.7,entropy_vn,0.8443395068664117,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
4.7,mean_abs_L,0.22230687997221063,4,charge_dephasing,0.0,schwinger,10,0.125,4.0,string_gs,e0_drop
